stammdaten.ZAEHLER[].geraete[].geraetenummer; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].RFF+[MG|Z14], SG4.IDE+24.SG8.SEQ+[ZB9|ZC0].SG10.CCI+++Z25.CAV+Z30, SG4.IDE+24.SG8.SEQ+[ZB7|ZB8].SG10.CCI+++Z26.CAV+Z30, SG4.IDE+24.SG8.SEQ+[ZC1|ZC2].SG10.CCI+++Z27.CAV+Z30, SG4.IDE+24.SG8.SEQ+[ZC3|ZC4].SG10.CCI+++Z75.CAV+Z30, SG4.IDE+24.SG8.SEQ+[ZH3|ZH4].RFF+Z14, SG4.IDE+24.SG8.SEQ+[ZH3|ZH4].SG10.CCI+++Z76.CAV+Z30
stammdaten.ZAEHLER[].geraete[].geraetetyp; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].RFF+[MG|Z14], SG4.IDE+24.SG8.SEQ+[ZH3|ZH4].RFF+Z14, SG4.IDE+24.SG8.SEQ+[ZH3|ZH4].SG10.CCI+++Z76.CAV+Z30
stammdaten.ZAEHLER[].gueltigkeitszeitraum.zeitraumId; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4], SG4.IDE+24.SG8.SEQ+[ZA5|ZA6], SG4.IDE+24.SG8.SEQ+[ZB9|ZC0], SG4.IDE+24.SG8.SEQ+[ZB7|ZB8], SG4.IDE+24.SG8.SEQ+[ZC1|ZC2], SG4.IDE+24.SG8.SEQ+[ZC3|ZC4], SG4.IDE+24.SG8.SEQ+[ZH3|ZH4]
stammdaten.ZAEHLER[].messwerterfassung; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E12.CAV+[AMR|MMR]
stammdaten.ZAEHLER[].tarifart; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E13.CAV+[ETZ|ZTZ|NTZ
stammdaten.ZAEHLER[].zaehlerauspraegung; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E13.CAV+[ERZ|ZRZ]
stammdaten.ZAEHLER[].zaehlernummer; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E13.CAV+Z30, SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].RFF+[MG|Z14], SG4.IDE+24.SG8.SEQ+[ZB9|ZC0].RFF+MG, SG4.IDE+24.SG8.SEQ+[ZB7|ZB8].RFF+MG, SG4.IDE+24.SG8.SEQ+[ZC1|ZC2].RFF+MG
stammdaten.ZAEHLER[].zaehlertyp; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E13.CAV+[AHZ|WSZ|LAZ|MAZ|MME|EHZ|IVA]
stammdaten.ZAEHLER[].zaehlertypspezifikation; SG4.IDE+24.SG8.SEQ+[ZA3|ZA4].SG10.CCI+++E13.CAV+[AHZ|WSZ|LAZ|MAZ|MME|EHZ|IVA]
stammdaten.ZAEHLER[].zaehlwerke[].bezeichnung; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+++Z63
stammdaten.ZAEHLER[].zaehlwerke[].konfiguration; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].RFF+AGK
stammdaten.ZAEHLER[].zaehlwerke[].nachkommastelle; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+11++Z33.CAV
stammdaten.ZAEHLER[].zaehlwerke[].obisKennzahl; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].PIA+5
stammdaten.ZAEHLER[].zaehlwerke[].schwachlastfaehig; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+Z10
stammdaten.ZAEHLER[].zaehlwerke[].vorkommastelle; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+11++Z33.CAV
stammdaten.ZAEHLER[].zaehlwerke[].wertegranularitaet; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+++ZE4.CAV
stammdaten.ZAEHLER[].zaehlwerke[].zaehlzeiten.register; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+Z38
stammdaten.ZAEHLER[].zaehlwerke[].zaehlzeiten.zaehlzeitDefinition; SG4.IDE+24.SG8.SEQ+[ZA5|ZA6].SG10.CCI+Z39
transaktionsdaten.absender.ansprechpartner.eMailAdresse; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.ansprechpartner.nachname; SG2.NAD+MS.SG3.CTA
transaktionsdaten.absender.rollencodenummer; SG2.NAD+MS
transaktionsdaten.absender.rollencodetyp; SG2.NAD+MS
transaktionsdaten.absender.rufnummern[].nummerntyp; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.rufnummern[].rufnummer; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.anfragereferenznummer; SG4.IDE+24.SG6.RFF+TN
transaktionsdaten.antwortStatusZeitraum[].code; SG4.IDE+24.STS+E01
transaktionsdaten.antwortStatusZeitraum[].liste; SG4.IDE+24.STS+E01
transaktionsdaten.antwortStatusZeitraum[].zeitraumId; SG4.IDE+24.STS+E01
transaktionsdaten.dokumentennummer; BGM+[E03|Z88]
transaktionsdaten.empfaenger.rollencodenummer; SG2.NAD+MR
transaktionsdaten.empfaenger.rollencodetyp; SG2.NAD+MR
transaktionsdaten.kategorie; BGM+[E03|Z88]
transaktionsdaten.nachrichtendatum; DTM+137
transaktionsdaten.nachrichtenreferenznummer; UNH
transaktionsdaten.pruefidentifikator; SG4.IDE+24.SG6.RFF+Z13
transaktionsdaten.transaktionsgrund; SG4.IDE+24.STS+7
transaktionsdaten.vorgangsnummer; SG4.IDE+24
